p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global
0.36177777777777775,0.36918055555555557,0.2311111111111111,0.15288888888888888,0.13111111111111112,0.0951111111111111,7.29765285343524,-0.038398020803821355,-1.4033446916379742,-0.015828432952384987,16.214337187047224,32,-0.000531248224192735,-0.531248224192735,0.006,25.0,180000,2250,0.91224375,0.24292222222222223,0.48523777327022766
0.37422222222222223,0.3825138888888889,0.21022222222222223,0.14355555555555555,0.12666666666666668,0.09422222222222222,7.2652872465332425,-0.038435372432081664,-1.3312693200309198,0.007200073678764176,15.453506244829336,32,-0.000531248224192735,-0.531248224192735,0.006,25.0,180001,2250,0.9123722222222223,0.23662222222222223,0.4791758972086841
0.3884444444444444,0.3928055555555556,0.22755555555555557,0.14177777777777778,0.12488888888888888,0.09466666666666666,7.307417440209027,-0.03831347457517244,-1.2063873914531795,0.007979497239765912,16.208178245753285,32,-0.000531248224192735,-0.531248224192735,0.006,25.0,180002,2250,0.9121875,0.2381888888888889,0.4811478144811478
0.37377777777777776,0.3813472222222222,0.22044444444444444,0.144,0.12666666666666668,0.09644444444444444,7.39443345400562,-0.0383661565151736,-1.2986458407881674,0.0022775976765457393,16.09467646271093,32,-0.000531248224192735,-0.531248224192735,0.006,25.0,180003,2250,0.9124895833333333,0.24296666666666666,0.47614840989399293
0.3622222222222222,0.36593055555555554,0.22177777777777777,0.15066666666666667,0.12711111111111112,0.09155555555555556,7.305351020162185,-0.03835850856191089,-1.4563533259727273,-0.007086658348521014,16.110996595765243,32,-0.000531248224192735,-0.531248224192735,0.006,25.0,180004,2250,0.9123923611111111,0.23916666666666667,0.47982359426681365
0.40044444444444444,0.4016388888888889,0.224,0.15022222222222223,0.12977777777777777,0.10133333333333333,7.454557163052067,-0.038214099377369116,-1.115808509634646,-0.02147775618893507,17.346484072789544,32,-0.000498933224192735,-0.498933224192735,0.006,25.0,180100,2250,0.9121083333333333,0.24101111111111112,0.47162883845126835
0.43555555555555553,0.4383472222222222,0.23822222222222222,0.16,0.1328888888888889,0.10133333333333333,7.3896315133285295,-0.03824970561605365,-0.7326787946919358,-0.005015724102080229,15.184865629810988,32,-0.000498933224192735,-0.498933224192735,0.006,25.0,180101,2250,0.9126263888888889,0.2387,0.46653898152320866
0.4235555555555556,0.4248472222222222,0.20133333333333334,0.13466666666666666,0.11466666666666667,0.08577777777777777,7.225291694988882,-0.03839976190198368,-0.8664740070493478,0.01974672220005152,15.628912483211428,32,-0.000498933224192735,-0.498933224192735,0.006,25.0,180102,2250,0.9120208333333333,0.23578888888888888,0.4781267217630854
0.4106666666666667,0.41223611111111114,0.23555555555555555,0.16177777777777777,0.1368888888888889,0.104,7.48223557526408,-0.03818275006882579,-0.989915876552607,0.006993427724178168,16.916232744365818,32,-0.000498933224192735,-0.498933224192735,0.006,25.0,180103,2250,0.9121395833333333,0.24454444444444445,0.469417099878332
0.3751111111111111,0.38090277777777776,0.22533333333333333,0.15244444444444444,0.13244444444444445,0.09288888888888888,7.341393454836171,-0.03829577004846366,-1.3070266684418015,-0.027005632210698655,15.881401713866529,32,-0.000498933224192735,-0.498933224192735,0.006,25.0,180104,2250,0.9124319444444444,0.23904444444444445,0.4697450486924171
0.49866666666666665,0.49945833333333334,0.232,0.1471111111111111,0.13244444444444445,0.10088888888888889,7.358602638647743,-0.03822701768507745,-0.14448567406876606,0.01675213512957717,14.69967504822974,32,-0.000466618224192735,-0.46661822419273496,0.006,25.0,180200,2250,0.9117881944444445,0.2379888888888889,0.47421314191054664
0.43066666666666664,0.43316666666666664,0.2311111111111111,0.1497777777777778,0.12711111111111112,0.09644444444444444,7.316566358759553,-0.03811953924273151,-0.784044089767094,0.010234883454727287,15.24718635925892,32,-0.000466618224192735,-0.46661822419273496,0.006,25.0,180201,2250,0.912025,0.24156666666666668,0.47069391421513584
0.4177777777777778,0.42369444444444443,0.23644444444444446,0.15288888888888888,0.13244444444444445,0.09644444444444444,7.4667719768753065,-0.03826107251659238,-0.8672148874554235,-0.011493617032500139,14.956728321798606,32,-0.000466618224192735,-0.46661822419273496,0.006,25.0,180202,2250,0.9128069444444444,0.23773333333333332,0.484631486173846
0.5155555555555555,0.5115833333333333,0.22577777777777777,0.14222222222222222,0.12444444444444444,0.09066666666666667,7.300066090341028,-0.03830563130194927,-0.020555032706435567,-0.014877609334379606,16.877817097024238,32,-0.000466618224192735,-0.46661822419273496,0.006,25.0,180203,2250,0.9120895833333333,0.2359,0.4723533378287256
0.4617777777777778,0.4613333333333333,0.2088888888888889,0.13555555555555557,0.11866666666666667,0.08533333333333333,7.290822262184577,-0.03822923509465465,-0.5079507186304334,0.02415729775886442,14.575084332631638,32,-0.000466618224192735,-0.46661822419273496,0.006,25.0,180204,2250,0.9118201388888889,0.2366888888888889,0.47779258272262937
0.52,0.5175972222222223,0.23466666666666666,0.15288888888888888,0.132,0.10088888888888889,7.375911393280009,-0.03821345933630687,0.05750616609172,0.021345614373853225,14.53148029058264,32,-0.000434303224192735,-0.434303224192735,0.006,25.0,180300,2250,0.9123215277777778,0.23812222222222224,0.46697388632872505
0.5115555555555555,0.5104722222222222,0.22355555555555556,0.1537777777777778,0.13244444444444445,0.10577777777777778,7.416313833752675,-0.03823390057587671,-0.03160701043092255,0.022940135604949438,15.067962861077211,32,-0.000434303224192735,-0.434303224192735,0.006,25.0,180301,2250,0.9122104166666667,0.239,0.4679862877363707
0.5084444444444445,0.5034027777777778,0.2457777777777778,0.16977777777777778,0.14577777777777778,0.10622222222222222,7.388623030693118,-0.03829492792939312,-0.11027552614106591,-0.002224023841373185,13.901896792978222,32,-0.000434303224192735,-0.434303224192735,0.006,25.0,180302,2250,0.9117826388888889,0.2343888888888889,0.4731469152241456
0.49644444444444447,0.4942361111111111,0.24488888888888888,0.16177777777777777,0.13466666666666666,0.10488888888888889,7.394110480075915,-0.038175465258135054,-0.15913182656194183,-0.02012461995508342,15.4397200933024,32,-0.000434303224192735,-0.434303224192735,0.006,25.0,180303,2250,0.9123916666666667,0.24153333333333332,0.47165178571428573
0.5417777777777778,0.5386111111111112,0.23466666666666666,0.15911111111111112,0.13644444444444445,0.10666666666666667,7.373951012130054,-0.03833245008464749,0.269827049208851,0.001181112543970553,15.930013583515855,32,-0.000434303224192735,-0.434303224192735,0.006,25.0,180304,2250,0.91208125,0.2368222222222222,0.47639968457812326
0.5422222222222223,0.5414861111111111,0.22311111111111112,0.14844444444444443,0.12666666666666668,0.10222222222222223,7.266588298802183,-0.03840159051806082,0.2838685889283988,0.02378147648293384,14.379934458495702,32,-0.00040198822419273495,-0.40198822419273494,0.006,25.0,180400,2250,0.9117152777777778,0.2339111111111111,0.4725531677986861
0.5648888888888889,0.5602916666666666,0.22977777777777778,0.14844444444444443,0.12133333333333333,0.08888888888888889,7.214866354350549,-0.03840759594421696,0.49703782696042415,0.032900265180297684,17.907676887268032,32,-0.00040198822419273495,-0.40198822419273494,0.006,25.0,180401,2250,0.9123951388888889,0.23212222222222223,0.46061137284978637
0.5453333333333333,0.5441944444444444,0.23066666666666666,0.1431111111111111,0.12444444444444444,0.09377777777777778,7.151045335302613,-0.03849852683281684,0.3241220248921904,-0.021431253593976695,15.232096000841018,32,-0.00040198822419273495,-0.40198822419273494,0.006,25.0,180402,2250,0.9121368055555555,0.23156666666666667,0.46306186025812196
0.5791111111111111,0.5743055555555555,0.21822222222222223,0.14222222222222222,0.12133333333333333,0.09155555555555556,7.198858431332835,-0.038508239582330156,0.5990619772796963,0.008606102670901266,17.92444383296191,32,-0.00040198822419273495,-0.40198822419273494,0.006,25.0,180403,2250,0.9124534722222222,0.2278777777777778,0.4761114797611148
