p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global,test
0.7697777777777778,0.7602083333333334,0.22266666666666668,0.144,0.124,0.08977777777777778,7.443110533327714,-0.036342819622742016,2.622015718921691,0.004139769722151091,17.90013609723917,32,0.000258519998,0.258519998,0.0,25.0,123200,2250,0.9123993055555556,0.25274444444444444,0.49089712656284273,steep
0.8293333333333334,0.8118472222222223,0.2137777777777778,0.14222222222222222,0.11733333333333333,0.08355555555555555,7.355257436095805,-0.03657865055061899,3.157293701320521,-0.01315088513781801,16.421158122718634,32,0.000258519998,0.258519998,0.0,25.0,123201,2250,0.9119881944444445,0.2500777777777778,0.485055696481747,steep
0.8008888888888889,0.7881944444444444,0.21022222222222223,0.13733333333333334,0.11377777777777778,0.08533333333333333,7.362414110533644,-0.03654175281094127,2.9299651359919068,-0.004514394623058712,16.853248423901835,32,0.000258519998,0.258519998,0.0,25.0,123202,2250,0.9120381944444444,0.2508444444444444,0.4802448525319978,steep
0.7977777777777778,0.7805694444444444,0.22,0.14533333333333334,0.12355555555555556,0.09466666666666666,7.500826239106174,-0.03627347658384964,2.804719921912318,0.006217829267611517,16.440681771291334,32,0.000258519998,0.258519998,0.0,25.0,123203,2250,0.9127569444444444,0.2548666666666667,0.47821760283060594,steep
0.7706666666666667,0.7573611111111112,0.21955555555555556,0.1368888888888889,0.11555555555555555,0.08444444444444445,7.384580533876873,-0.036432162727937985,2.601756482230217,-0.001659539175948891,17.18165974087121,32,0.000258519998,0.258519998,0.0,25.0,123204,2250,0.9123375,0.25308888888888886,0.481587968594493,steep
0.8462222222222222,0.829875,0.21466666666666667,0.13377777777777777,0.11022222222222222,0.07955555555555556,7.292662528756689,-0.03658211942117551,3.3058606614843025,0.012510049963311773,16.672284649683384,32,0.000258519998,0.258519998,0.0,25.0,123205,2250,0.9122902777777778,0.2509888888888889,0.48299545807023375,steep
0.7831111111111111,0.7682361111111111,0.22444444444444445,0.1537777777777778,0.1288888888888889,0.09777777777777778,7.550264992449174,-0.03628509587548424,2.719722328722657,0.02957229451595213,14.51743988808772,32,0.000258519998,0.258519998,0.0,25.0,123206,2250,0.9123513888888889,0.25508888888888887,0.4982923873526496,steep
0.7968888888888889,0.7797916666666667,0.20844444444444443,0.13955555555555554,0.11422222222222222,0.08755555555555555,7.316642993665708,-0.036482618213436124,2.81037470199911,-0.028697180247455687,16.511353329863145,32,0.000258519998,0.258519998,0.0,25.0,123207,2250,0.9127333333333333,0.24988888888888888,0.4864714397060461,steep
0.772,0.7582638888888888,0.228,0.168,0.12977777777777777,0.10355555555555555,7.605775757669633,-0.036269743708347964,2.595629929507932,0.022854136337307398,17.15386953246009,64,0.000258519998,0.258519998,0.0,25.0,126400,2250,0.9142506944444444,0.25256666666666666,0.48462989679280877,steep
0.8053333333333333,0.7928472222222223,0.20266666666666666,0.14933333333333335,0.116,0.09155555555555556,7.443271868760697,-0.03633417747511697,2.9538687576215965,-0.004810345648721319,16.196018453861114,64,0.000258519998,0.258519998,0.0,25.0,126401,2250,0.9145253472222222,0.2544888888888889,0.47862679955703213,steep
