p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global,wall_test
0.5195555555555555,0.5174097222222223,0.2408888888888889,0.18222222222222223,0.14044444444444446,0.10755555555555556,7.689842329325698,-0.03534578174057402,0.19570671670790685,0.02290264702471769,16.144557093100182,64,0.0,0.0,0.0,20.0,320000,2250,0.9145038194444445,0.26415555555555553,0.4954515198579987,zero
0.41555555555555557,0.41949305555555555,0.23866666666666667,0.176,0.13955555555555554,0.11511111111111111,7.728868658908863,-0.03536707850663656,-0.8039707039262889,0.040123610353749325,14.771504649064578,64,0.0,0.0,0.0,20.0,320001,2250,0.91446875,0.2613333333333333,0.49447852760736194,zero
0.49466666666666664,0.4932638888888889,0.23822222222222222,0.17777777777777778,0.144,0.11377777777777778,7.765531631380223,-0.035420459985838225,-0.07995978503927753,0.005331119082706446,13.943182946311552,64,0.0,0.0,0.0,20.0,320002,2250,0.9145989583333334,0.2609444444444444,0.49325071918566055,zero
0.5711111111111111,0.5642083333333333,0.22444444444444445,0.16622222222222222,0.12977777777777777,0.10266666666666667,7.639169937379374,-0.03554047408014152,0.6288292207782746,-0.008461988637943967,16.966114410723545,64,0.0,0.0,0.0,20.0,320003,2250,0.9145822916666667,0.2556111111111111,0.4927552385198395,zero
0.5066666666666667,0.5028333333333334,0.248,0.19377777777777777,0.15511111111111112,0.12577777777777777,7.747986310118302,-0.0354804031546826,0.03620132861926509,0.01278972506083434,14.38816413601859,64,0.0,0.0,0.0,20.0,320004,2250,0.9146291666666667,0.2591777777777778,0.48492937381826273,zero
0.4533333333333333,0.4550208333333333,0.22533333333333333,0.16266666666666665,0.12711111111111112,0.10177777777777777,7.569314086557786,-0.03559867077192484,-0.4166545844593307,0.014901995525052213,16.70358219643438,64,0.0,0.0,0.0,20.0,320005,2250,0.9145725694444444,0.2573,0.48777234326367275,zero
0.512,0.5090763888888888,0.236,0.17377777777777778,0.14,0.11866666666666667,7.70222934186033,-0.03541909815656008,0.08700187677626513,-0.014273583805510298,14.457894502071127,64,0.0,0.0,0.0,20.0,320006,2250,0.9148944444444445,0.26051111111111114,0.4991722767906412,zero
0.5146666666666667,0.5139375,0.232,0.17244444444444446,0.13822222222222222,0.11333333333333333,7.729423576023538,-0.03553869548827783,0.14663604798468516,-0.009592188470083434,16.02210052773205,64,0.0,0.0,0.0,20.0,320007,2250,0.914775,0.25558888888888887,0.48728393702521194,zero
0.7368888888888889,0.7296805555555556,0.21155555555555555,0.156,0.12133333333333333,0.0951111111111111,7.4501692277441975,-0.0361682836191825,2.3068906360252943,0.018114571684541534,15.481348928158962,64,0.000258519998,0.258519998,0.0,20.0,320100,2250,0.9147010416666667,0.25601111111111113,0.49905439982200467,steep
0.8,0.7869236111111111,0.20444444444444446,0.14577777777777778,0.1111111111111111,0.08755555555555555,7.424100611675789,-0.036302691786386225,2.864660756602345,0.0018983433466689046,14.865904219619495,64,0.000258519998,0.258519998,0.0,20.0,320101,2250,0.9146729166666666,0.25314444444444445,0.4858941216140272,steep
0.7902222222222223,0.7738611111111111,0.19777777777777777,0.15155555555555555,0.11866666666666667,0.09466666666666666,7.418032146362774,-0.036286829607916314,2.800306497475572,0.01183038057174863,17.696527372464665,64,0.000258519998,0.258519998,0.0,20.0,320102,2250,0.9144597222222223,0.2545222222222222,0.48296148296148295,steep
0.7671111111111111,0.7527847222222223,0.20355555555555555,0.15644444444444444,0.12355555555555556,0.09733333333333333,7.473206038734675,-0.03623009429501456,2.5690917317961586,-0.027419774340820404,15.748283284743689,64,0.000258519998,0.258519998,0.0,20.0,320103,2250,0.9145722222222222,0.25262222222222225,0.4856735097156658,steep
0.768,0.7532361111111111,0.19955555555555557,0.1408888888888889,0.10888888888888888,0.08622222222222223,7.504906569899118,-0.03615866288091812,2.54446931465654,-0.03744235005314906,15.118415596053168,64,0.000258519998,0.258519998,0.0,20.0,320104,2250,0.9143791666666666,0.2529777777777778,0.4928106043585711,steep
0.7982222222222223,0.7870625,0.19066666666666668,0.13866666666666666,0.10844444444444444,0.08533333333333333,7.269514319013266,-0.03645260434306254,2.866937549022552,0.013626099876691384,15.459920619015517,64,0.000258519998,0.258519998,0.0,20.0,320105,2250,0.9144534722222222,0.24835555555555555,0.4920088790233074,steep
0.788,0.7747083333333333,0.22,0.15688888888888888,0.11422222222222222,0.08933333333333333,7.5870750257348085,-0.03616406109729373,2.7628737788026614,-0.026362789093324047,14.388657426421501,64,0.000258519998,0.258519998,0.0,20.0,320106,2250,0.9144267361111111,0.2577888888888889,0.48824977618621307,steep
0.7386666666666667,0.7249375,0.22444444444444445,0.164,0.1302222222222222,0.10577777777777778,7.594527895968989,-0.03613988021955631,2.2345080137824302,-0.0033928343757867402,15.07119901698874,64,0.000258519998,0.258519998,0.0,20.0,320107,2250,0.9143940972222222,0.2527888888888889,0.483518906405027,steep
